[09:45:49]===============================================================
[09:45:49]     START MEASURE :: 아이스 아메리카노
[15:58:20]  DISPENSE ICE        : 4.57 sec
[15:58:20]  START COFFEE         : 0.20 sec
[15:58:52]  DISPENSE COFFEE         : 31.29 sec
[15:58:52]  START OUTLET         : 0.20 sec
[15:58:58]  READY OUTLET         : 6.40 sec
[15:59:02]  DISPENSE OUTLET         : 3.60 sec
[15:59:02]     STOP MEASURE :: 아이스 아메리카노
[15:59:02]     TAKT TIME :: 56.01 sec
[15:59:02]===============================================================



[16:02:18]===============================================================
[16:02:18]     START MEASURE :: 아이스 아메리카노
[16:02:18]---------------------------------------------------------------
[16:02:18]  START CUP           : 0.20 sec
[16:02:21]  READY CUP           : 3.54 sec
[16:02:24]  DISPENSE CUP        : 2.88 sec
[16:02:27]  START ICE           : 2.19 sec
[16:02:29]  READY ICE           : 2.14 sec
